Date,Start Time,End Time,Time Taken,QUESTION LINK,Code Link,Rating,Description,Solved,Learning
09-12-2024,12:56:35,,,https://leetcode.com/problems/special-array-ii/description/,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/LEETCODE/ARRAYS/3152.%20Special%20Array%20II.cpp,,,,
23-12-2024,20:47:11,20:58:26,11 minutes,https://codeforces.com/problemset/problem/1703/F,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CF/DEC/F.%20Yet%20Another%20Problem%20About%20Pairs%20Satisfying%20an%20Inequality.cpp,1300,"You are given an array a1,a2,…an Count the number of pairs of indices 1≤i,j≤n such that ai<i<aj<j",No,How to modify the array before applying Binsearch
24-12-2024,10:21:16,10:34:08,12 minutes,https://codeforces.com/problemset/problem/2042/B,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/CF/DEC/B.%20Game%20with%20Colored%20Marbles.cpp,900,Alice wants to maximize her score at the end of the game. Bob wants to minimize it. Both players play optimally,No,The question may be set is a way that you would not need DP
26-12-2024,20:34:54,11:51:46,-523 minutes,https://leetcode.com/problems/k-th-smallest-prime-fraction,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/LEETCODE/BINARY%20SEARCH/786.%20K-th%20Smallest%20Prime%20Fraction.cpp,Medium,"You are given a sorted integer array arr containing 1 and prime numbers, where all the integers of arr are unique. You are also given an integer k.",No,How to find the numerator and denominator and not just the kth smalles fraction
27-12-2024,21:45:46,21:48:58,3 minutes,https://leetcode.com/problems/minimum-limit-of-balls-in-a-bag,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/LEETCODE/BINARY%20SEARCH/1760.%20Minimum%20Limit%20of%20Balls%20in%20a%20Bag.cpp,Medium,You are given an integer array nums where the ith bag contains nums[i] balls. You are also given an integer maxOperations. Your penalty is the maximum number of balls in a bag. You want to minimize your penalty after the operations.,No,Correct expression for calculating the number of operations required
