Date,Start Time,End Time,Time Taken,QUESTION LINK,Code Link,Rating,Description,Solved,Learning
29-12-2024,23:24:24,23:41:38,17 minutes,https://leetcode.com/problems/ugly-number-iii,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/LEETCODE/BINARY%20SEARCH/%20Code%20Testcase%20Testcase%20Test%20Result%201201.%20Ugly%20Number%20III.cpp,Medium,"Find the nth number divisible by either a , b, c",No,thora maths laga lo bhai
07-01-2025,18:55:19,,,https://leetcode.com/problems/find-the-longest-valid-obstacle-course-at-each-position,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/LEETCODE/BINARY%20SEARCH/1964.%20Find%20the%20Longest%20Valid%20Obstacle%20Course%20at%20Each%20Position.cpp,Hard,"Return an array ans of length n, where ans[i] is the length of the longest obstacle course for index i as described above.",No,How to keep track of history and update it in a way to optimise the answer
