Date,Start Time,End Time,Time Taken,QUESTION LINK,Code Link,Rating,Description,Solved,Learning
15-05-2025,15:43:03,,,https://leetcode.com/problems/course-schedule-iii,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/LEETCODE/GRAPHS/630.cpp,Hard,"Give cetain tasks with duration and deadline, complete max number of tasks",No,"Greedily add all the tasks you can and replace current task if cannot be completed within the deadline with the longest task chosen till now, basically it ruled out the thought of trying all possible set of tasks"
15-05-2025,15:52:07,,,https://leetcode.com/problems/course-schedule-iv,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/LEETCODE/GRAPHS/1462.cpp,Medium,find all the ancestors of each node,Kinda Yes,Try reversing the edges and see the magic and also try reversing the direction of dfs.
20-05-2025,07:55:05,08:55:49,,https://leetcode.com/problems/evaluate-division/,https://github.com/ENAMINE1/CP-JOURNEY/tree/main/QUESTIONS/LEETCODE/GRAPHS/399.%20Evaluate%20Division.cpp,Medium,"You are given an array of variable pairs equations and an array of real numbers values, where equations[i] = [Ai, Bi] and values[i] represent the equation Ai / Bi = values[i]. Each Ai or Bi is a string that represents a single variable. You are also given some queries, where queries[j] = [Cj, Dj] represents the jth query where you must find the answer for Cj / Dj = ?.",No,Finding to which category the problem belongs what the critical part and then using the values v[i] as edge weights was alog important step which i missed
